Region,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022
US & CA,0,1728678,2871112,3677619,4864443,8199342,9414737,11471974,13358718,15200270,17379811,21571179,24907610,27001311,29290034
APAC,0,530,1100,2674,5652,28909,47956,78146,116092,150197,178091,206613,232743,258897,280440
EU & Africa,0,3543111,3850862,4695245,5406291,5445409,5296816,5365773,5434899,5787456,6139490,7516947,9500768,9783959,9950219
GCC,0,71,100,115,160,140,139,135,136,136,142,136,135,136,139
LATAM,0,353,565,1041,960,1041,1009,1278,1643,2651,5059,7648,8841,9642,10170
