Region,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022,February 2022,March 2022
APAC,31688,38221,47956,57694,67633,78146,90753,103463,116092,128884,139463,150197,158294,166961,178091,188368,197507,206613,216726,223430,232743,242138,250480,258897,264870,271552,280440
EU & Africa,5209802,5244795,5296816,5243621,5291818,5365773,5364761,5382902,5434899,5588590,5732227,5787456,6015073,6098501,6139490,6130281,6246910,7516947,8209824,9360661,9500768,9637930,9691654,9783959,9808200,9870386,9950219
GCC,125,130,139,138,133,135,137,150,136,136,135,136,136,141,142,136,129,136,138,136,135,138,139,136,141,140,139
LATAM,939,960,1009,1014,1081,1278,1218,1606,1643,1855,2171,2651,3568,4205,5059,5972,6673,7648,8317,8616,8841,9157,9471,9642,9798,9816,10170
US & CA,8143265,8433509,9414737,9589752,10122318,11471974,12351545,12903512,13358718,13727026,14508438,15200270,16121151,16543570,17379811,19304851,20717930,21571179,22925511,24339321,24907610,25476112,26360454,27001311,28218591,28735009,29290034
